18388,6323,707
18388,24948,825
20637,6323,707
20637,24948,825
13396,6323,707
13396,24948,825
12922,6323,707
12922,24948,825
8007,6323,707
8007,24948,825
11164,6323,707
11164,24948,825
8006,6323,707
8006,24948,825
6323,24948,118
6323,18388,707
18390,24948,118
18390,18388,707
6322,24948,118
6322,18388,707
18389,24948,118
18389,18388,707
24948,6323,118
24948,18388,825
5229,6323,118
5229,18388,825
5230,6323,118
5230,18388,825
24949,6323,118
24949,18388,825
22102,6323,118
22102,18388,825
18511,18388,959
18511,6323,782
5232,18388,959
5232,6323,782
5233,18388,959
5233,6323,782
10828,18388,959
10828,6323,782
14420,18388,959
14420,6323,782
